Tipo_Agrupacion;ID_Agrupacion;Nombre_Agrupacion;Valor_Agrupacion
Comunidad de Madrid;0;Comunidad de Madrid;6726640
Zonas Estadísticas;1;Municipio de Madrid ;3277451
Zonas Estadísticas;2;Norte Metropolitano ;350798
Zonas Estadísticas;3;Este Metropolitano  ;666509
Zonas Estadísticas;4;Sur Metropolitano   ;1332183
Zonas Estadísticas;5;Oeste Metropolitano ;506391
Zonas Estadísticas;6;Sierra Norte        ;44743
Zonas Estadísticas;7;Nordeste Comunidad  ;67886
Zonas Estadísticas;8;Sudeste Comunidad   ;111268
Zonas Estadísticas;9;Sudoeste Comunidad  ;149758
Zonas Estadísticas;10;Sierra Sur          ;37766
Zonas Estadísticas;11;Sierra Central      ;181887
Municipios;14;Acebeda (La);55
Municipios;29;Ajalvir;4793
Municipios;35;Alameda del Valle;248
Municipios;40;Alamo (El);9946
Municipios;53;Alcalá de Henares;195570
Municipios;66;Alcobendas;116895
Municipios;72;Alcorcón;171575
Municipios;88;Aldea del Fresno;3078
Municipios;91;Algete;20704
Municipios;105;Alpedrete;15178
Municipios;112;Ambite;663
Municipios;127;Anchuelo;1365
Municipios;133;Aranjuez;60156
Municipios;148;Arganda del Rey;56315
Municipios;151;Arroyomolinos;33757
Municipios;164;Atazar (El);109
Municipios;170;Batres;1818
Municipios;186;Becerril de la Sierra;6096
Municipios;199;Belmonte de Tajo;1749
Municipios;210;Berrueco (El);810
Municipios;203;Berzosa del Lozoya;213
Municipios;225;Boadilla del Monte;59000
Municipios;231;Boalo (El);8006
Municipios;246;Braojos;218
Municipios;259;Brea de Tajo;529
Municipios;262;Brunete;10699
Municipios;278;Buitrago del Lozoya;1943
Municipios;284;Bustarviejo;2706
Municipios;297;Cabanillas de la Sierra;841
Municipios;301;Cabrera (La);2776
Municipios;318;Cadalso de los Vidrios;3227
Municipios;323;Camarma de Esteruelas;7536
Municipios;339;Campo Real;6435
Municipios;344;Canencia;457
Municipios;357;Carabaña;2168
Municipios;360;Casarrubuelos;3950
Municipios;376;Cenicientos;2078
Municipios;382;Cercedilla;7315
Municipios;395;Cervera de Buitrago;158
Municipios;513;Chapinería;2493
Municipios;528;Chinchón;5544
Municipios;409;Ciempozuelos;25070
Municipios;416;Cobeña;7424
Municipios;468;Collado Mediano;7348
Municipios;474;Collado Villalba;64297
Municipios;455;Colmenar Viejo;52465
Municipios;437;Colmenar de Oreja;8422
Municipios;421;Colmenar del Arroyo;1879
Municipios;442;Colmenarejo;9414
Municipios;480;Corpa;742
Municipios;493;Coslada;81388
