Tipo_Agrupacion;ID_Agrupacion;Nombre_Agrupacion;Valor_Agrupacion
Municipios;14;Acebeda (La);88.477
Municipios;29;Ajalvir;34.911
Municipios;35;Alameda del Valle;92.242
Municipios;40;Alamo (El);42.104
Municipios;53;Alcalá de Henares;32.760
Municipios;66;Alcobendas;18.193
Municipios;72;Alcorcón;18.087
Municipios;88;Aldea del Fresno;56.001
Municipios;91;Algete;32.758
Municipios;105;Alpedrete;43.979
Municipios;112;Ambite;54.784
Municipios;127;Anchuelo;42.201
Municipios;133;Aranjuez;48.903
Municipios;148;Arganda del Rey;28.644
Municipios;151;Arroyomolinos;31.450
Municipios;164;Atazar (El);84.846
Municipios;170;Batres;37.802
Municipios;186;Becerril de la Sierra;50.448
Municipios;199;Belmonte de Tajo;57.499
Municipios;210;Berrueco (El);66.347
Municipios;203;Berzosa del Lozoya;82.228
Municipios;225;Boadilla del Monte;24.652
Municipios;231;Boalo (El);55.387
Municipios;246;Braojos;83.276
Municipios;259;Brea de Tajo;65.168
Municipios;262;Brunete;38.308
Municipios;278;Buitrago del Lozoya;76.377
Municipios;284;Bustarviejo;64.721
Municipios;297;Cabanillas de la Sierra;55.486
Municipios;301;Cabrera (La);60.420
Municipios;318;Cadalso de los Vidrios;89.965
Municipios;323;Camarma de Esteruelas;37.479
Municipios;339;Campo Real;34.635
Municipios;344;Canencia;82.184
Municipios;357;Carabaña;53.449
Municipios;360;Casarrubuelos;33.936
Municipios;376;Cenicientos;95.124
Municipios;382;Cercedilla;57.007
Municipios;395;Cervera de Buitrago;82.105
Municipios;513;Chapinería;57.258
Municipios;528;Chinchón;45.592
Municipios;409;Ciempozuelos;35.540
Municipios;416;Cobeña;34.590
Municipios;468;Collado Mediano;47.487
Municipios;474;Collado Villalba;42.565
Municipios;455;Colmenar Viejo;32.965
Municipios;437;Colmenar de Oreja;57.211
Municipios;421;Colmenar del Arroyo;61.175
Municipios;442;Colmenarejo;37.111
Municipios;480;Corpa;46.516
Municipios;493;Coslada;12.887
Municipios;506;Cubas de la Sagra;36.177
Municipios;534;Daganzo de Arriba;36.597
Municipios;549;Escorial (El);51.323
Municipios;552;Estremera;72.696
Municipios;565;Fresnedillas de la Oliva;69.753
Municipios;571;Fresno de Torote;46.990
Municipios;587;Fuenlabrada;25.824
Municipios;590;Fuente el Saz de Jarama;36.187
Municipios;604;Fuentidueña de Tajo;63.685
Municipios;611;Galapagar;35.516
Municipios;626;Garganta de los Montes;79.318
Municipios;632;Gargantilla del Lozoya y Pinilla de Buitrago;81.426
Municipios;647;Gascones;80.024
Municipios;650;Getafe;17.416
Municipios;663;Griñón;33.337
Municipios;679;Guadalix de la Sierra;58.847
Municipios;685;Guadarrama;50.794
