;Tipo_Agrupacion;ID_Agrupacion;Nombre_Agrupacion;Valor_Agrupacion;Cluster
12;Municipios;14;Acebeda (La);55;2
13;Municipios;29;Ajalvir;4793;0
14;Municipios;35;Alameda del Valle;248;2
15;Municipios;40;Alamo (El);9946;0
19;Municipios;88;Aldea del Fresno;3078;2
20;Municipios;91;Algete;20704;3
21;Municipios;105;Alpedrete;15178;3
22;Municipios;112;Ambite;663;2
23;Municipios;127;Anchuelo;1365;2
26;Municipios;151;Arroyomolinos;33757;1
27;Municipios;164;Atazar (El);109;2
28;Municipios;170;Batres;1818;2
29;Municipios;186;Becerril de la Sierra;6096;0
30;Municipios;199;Belmonte de Tajo;1749;2
31;Municipios;210;Berrueco (El);810;2
32;Municipios;203;Berzosa del Lozoya;213;2
34;Municipios;231;Boalo (El);8006;0
35;Municipios;246;Braojos;218;2
36;Municipios;259;Brea de Tajo;529;2
37;Municipios;262;Brunete;10699;0
38;Municipios;278;Buitrago del Lozoya;1943;2
39;Municipios;284;Bustarviejo;2706;2
40;Municipios;297;Cabanillas de la Sierra;841;2
41;Municipios;301;Cabrera (La);2776;2
42;Municipios;318;Cadalso de los Vidrios;3227;2
43;Municipios;323;Camarma de Esteruelas;7536;0
44;Municipios;339;Campo Real;6435;0
45;Municipios;344;Canencia;457;2
46;Municipios;357;Carabaña;2168;2
47;Municipios;360;Casarrubuelos;3950;2
48;Municipios;376;Cenicientos;2078;2
49;Municipios;382;Cercedilla;7315;0
50;Municipios;395;Cervera de Buitrago;158;2
51;Municipios;513;Chapinería;2493;2
52;Municipios;528;Chinchón;5544;0
53;Municipios;409;Ciempozuelos;25070;1
54;Municipios;416;Cobeña;7424;0
55;Municipios;468;Collado Mediano;7348;0
58;Municipios;437;Colmenar de Oreja;8422;0
59;Municipios;421;Colmenar del Arroyo;1879;2
60;Municipios;442;Colmenarejo;9414;0
61;Municipios;480;Corpa;742;2
63;Municipios;506;Cubas de la Sagra;6607;0
64;Municipios;534;Daganzo de Arriba;10528;0
