;Tipo_Agrupacion;ID_Agrupacion;Nombre_Agrupacion;Valor_Agrupacion;Cluster
12;Municipios;14;Acebeda (La);3.06;0
13;Municipios;29;Ajalvir;246.21;0
14;Municipios;35;Alameda del Valle;10.68;0
15;Municipios;40;Alamo (El);467.88;0
16;Municipios;53;Alcalá de Henares;2254.21;3
17;Municipios;66;Alcobendas;2639.08;3
18;Municipios;72;Alcorcón;5144.2;1
19;Municipios;88;Aldea del Fresno;65.93;0
20;Municipios;91;Algete;551.67;0
21;Municipios;105;Alpedrete;1219.57;2
22;Municipios;112;Ambite;26.72;0
23;Municipios;127;Anchuelo;63.81;0
24;Municipios;133;Aranjuez;322.45;0
25;Municipios;148;Arganda del Rey;729.87;2
26;Municipios;151;Arroyomolinos;1734.84;3
27;Municipios;164;Atazar (El);3.66;0
28;Municipios;170;Batres;87.98;0
29;Municipios;186;Becerril de la Sierra;211.29;0
30;Municipios;199;Belmonte de Tajo;76.46;0
31;Municipios;210;Berrueco (El);28.88;0
32;Municipios;203;Berzosa del Lozoya;14.97;0
33;Municipios;225;Boadilla del Monte;1361.02;2
34;Municipios;231;Boalo (El);210.04;0
35;Municipios;246;Braojos;8.5;0
36;Municipios;259;Brea de Tajo;12.27;0
37;Municipios;262;Brunete;223.37;0
38;Municipios;278;Buitrago del Lozoya;75.24;0
39;Municipios;284;Bustarviejo;48.97;0
40;Municipios;297;Cabanillas de la Sierra;67.8;0
41;Municipios;301;Cabrera (La);130.78;0
42;Municipios;318;Cadalso de los Vidrios;67.22;0
43;Municipios;323;Camarma de Esteruelas;221.02;0
44;Municipios;339;Campo Real;108.57;0
45;Municipios;344;Canencia;8.56;0
46;Municipios;357;Carabaña;47.95;0
47;Municipios;360;Casarrubuelos;767.6;2
48;Municipios;376;Cenicientos;30.58;0
49;Municipios;382;Cercedilla;213.98;0
50;Municipios;395;Cervera de Buitrago;14.2;0
51;Municipios;513;Chapinería;101.64;0
52;Municipios;528;Chinchón;48.93;0
53;Municipios;409;Ciempozuelos;519.78;0
54;Municipios;416;Cobeña;370.11;0
55;Municipios;468;Collado Mediano;336.02;0
56;Municipios;474;Collado Villalba;2627.28;3
57;Municipios;455;Colmenar Viejo;301.13;0
58;Municipios;437;Colmenar de Oreja;69.21;0
59;Municipios;421;Colmenar del Arroyo;39.63;0
60;Municipios;442;Colmenarejo;306.51;0
61;Municipios;480;Corpa;30.66;0
62;Municipios;493;Coslada;6662.18;1
63;Municipios;506;Cubas de la Sagra;527.67;0
64;Municipios;534;Daganzo de Arriba;244.04;0
65;Municipios;549;Escorial (El);246.7;0
66;Municipios;552;Estremera;18.3;0
67;Municipios;565;Fresnedillas de la Oliva;63.3;0
68;Municipios;571;Fresno de Torote;78.92;0
69;Municipios;587;Fuenlabrada;4827.52;1
70;Municipios;590;Fuente el Saz de Jarama;218.87;0
71;Municipios;604;Fuentidueña de Tajo;37.52;0
72;Municipios;611;Galapagar;541.05;0
73;Municipios;626;Garganta de los Montes;10.38;0
74;Municipios;632;Gargantilla del Lozoya y Pinilla de Buitrago;16.03;0
75;Municipios;647;Gascones;11.32;0
76;Municipios;650;Getafe;2383.09;3
77;Municipios;663;Griñón;619.82;2
78;Municipios;679;Guadalix de la Sierra;112.97;0
79;Municipios;685;Guadarrama;298.02;0
80;Municipios;698;Hiruela (La);4.31;0
81;Municipios;702;Horcajo de la Sierra-Aoslos;11.03;0
82;Municipios;719;Horcajuelo de la Sierra;4.53;0
83;Municipios;724;Hoyo de Manzanares;198.3;0
84;Municipios;730;Humanes de Madrid;1007.31;2
85;Municipios;745;Leganés;4415.58;1
86;Municipios;758;Loeches;206.38;0
87;Municipios;761;Lozoya;10.73;0
88;Municipios;9015;Lozoyuela-Navas-Sieteiglesias;28.62;0
89;Municipios;783;Madarcos;8.41;0
91;Municipios;800;Majadahonda;1892.26;3
92;Municipios;822;Manzanares el Real;73.52;0
93;Municipios;838;Meco;442.09;0
94;Municipios;843;Mejorada del Campo;1344.46;2
95;Municipios;856;Miraflores de la Sierra;123.83;0
96;Municipios;869;Molar (El);194.8;0
97;Municipios;875;Molinos (Los);252.45;0
98;Municipios;881;Montejo de la Sierra;11.77;0
99;Municipios;894;Moraleja de Enmedio;176.53;0
100;Municipios;908;Moralzarzal;323.83;0
101;Municipios;915;Morata de Tajuña;178.4;0
102;Municipios;920;Móstoles;4682.94;1
103;Municipios;936;Navacerrada;100.92;0
104;Municipios;941;Navalafuente;137.16;0
105;Municipios;954;Navalagamella;39.73;0
106;Municipios;967;Navalcarnero;316.73;0
107;Municipios;973;Navarredonda y San Mamés;5.37;0
108;Municipios;992;Navas del Rey;64.19;0
109;Municipios;1006;Nuevo Baztán;354.17;0
110;Municipios;1013;Olmeda de las Fuentes;24.49;0
111;Municipios;1028;Orusco de Tajuña;66.51;0
112;Municipios;1049;Paracuellos de Jarama;617.07;2
113;Municipios;1065;Parla;5317.93;1
114;Municipios;1071;Patones;16.14;0
115;Municipios;1087;Pedrezuela;223.85;0
116;Municipios;1090;Pelayos de la Presa;391.28;0
117;Municipios;1104;Perales de Tajuña;64.15;0
118;Municipios;1111;Pezuela de las Torres;23.54;0
119;Municipios;1126;Pinilla del Valle;8.02;0
120;Municipios;1132;Pinto;889.54;2
121;Municipios;1147;Piñuécar-Gandullas;9.75;0
122;Municipios;1150;Pozuelo de Alarcón;2053.93;3
123;Municipios;1163;Pozuelo del Rey;41.24;0
