;Tipo_Agrupacion;ID_Agrupacion;Nombre_Agrupacion;Valor_Agrupacion;Cluster
0;Municipios;14;Acebeda (La);88.477;1
1;Municipios;29;Ajalvir;34.911;3
2;Municipios;35;Alameda del Valle;92.242;1
3;Municipios;40;Alamo (El);42.104;3
4;Municipios;53;Alcalá de Henares;32.76;3
5;Municipios;66;Alcobendas;18.193;2
6;Municipios;72;Alcorcón;18.087;2
7;Municipios;88;Aldea del Fresno;56.001;0
8;Municipios;91;Algete;32.758;3
9;Municipios;105;Alpedrete;43.979;3
10;Municipios;112;Ambite;54.784;0
11;Municipios;127;Anchuelo;42.201;3
12;Municipios;133;Aranjuez;48.903;3
13;Municipios;148;Arganda del Rey;28.644;2
14;Municipios;151;Arroyomolinos;31.45;2
15;Municipios;164;Atazar (El);84.846;1
16;Municipios;170;Batres;37.802;3
17;Municipios;186;Becerril de la Sierra;50.448;0
18;Municipios;199;Belmonte de Tajo;57.499;0
19;Municipios;210;Berrueco (El);66.347;0
20;Municipios;203;Berzosa del Lozoya;82.228;1
21;Municipios;225;Boadilla del Monte;24.652;2
22;Municipios;231;Boalo (El);55.387;0
23;Municipios;246;Braojos;83.276;1
24;Municipios;259;Brea de Tajo;65.168;0
25;Municipios;262;Brunete;38.308;3
26;Municipios;278;Buitrago del Lozoya;76.377;1
27;Municipios;284;Bustarviejo;64.721;0
28;Municipios;297;Cabanillas de la Sierra;55.486;0
29;Municipios;301;Cabrera (La);60.42;0
30;Municipios;318;Cadalso de los Vidrios;89.965;1
31;Municipios;323;Camarma de Esteruelas;37.479;3
32;Municipios;339;Campo Real;34.635;3
33;Municipios;344;Canencia;82.184;1
34;Municipios;357;Carabaña;53.449;0
35;Municipios;360;Casarrubuelos;33.936;3
36;Municipios;376;Cenicientos;95.124;1
37;Municipios;382;Cercedilla;57.007;0
38;Municipios;395;Cervera de Buitrago;82.105;1
39;Municipios;513;Chapinería;57.258;0
40;Municipios;528;Chinchón;45.592;3
41;Municipios;409;Ciempozuelos;35.54;3
42;Municipios;416;Cobeña;34.59;3
43;Municipios;468;Collado Mediano;47.487;3
44;Municipios;474;Collado Villalba;42.565;3
45;Municipios;455;Colmenar Viejo;32.965;3
46;Municipios;437;Colmenar de Oreja;57.211;0
47;Municipios;421;Colmenar del Arroyo;61.175;0
48;Municipios;442;Colmenarejo;37.111;3
49;Municipios;480;Corpa;46.516;3
50;Municipios;493;Coslada;12.887;2
51;Municipios;506;Cubas de la Sagra;36.177;3
52;Municipios;534;Daganzo de Arriba;36.597;3
53;Municipios;549;Escorial (El);51.323;0
54;Municipios;552;Estremera;72.696;1
55;Municipios;565;Fresnedillas de la Oliva;69.753;0
56;Municipios;571;Fresno de Torote;46.99;3
57;Municipios;587;Fuenlabrada;25.824;2
58;Municipios;590;Fuente el Saz de Jarama;36.187;3
