;Unnamed: 0;Tipo_Agrupacion;ID_Agrupacion;Nombre_Agrupacion;Valor_Agrupacion;Cluster;Variacion;Variacion_Porcentaje
0;12;Municipios;14;Acebeda (La);55;2;0.040324204996817575;4.032420499681757
1;13;Municipios;29;Ajalvir;4793;0;0.6491853015670924;64.91853015670924
2;14;Municipios;35;Alameda del Valle;248;2;0.18182550616746834;18.182550616746834
3;15;Municipios;40;Alamo (El);9946;0;1.347130609093741;134.7130609093741
4;19;Municipios;88;Aldea del Fresno;3078;2;2.256689145094627;225.66891450946272
5;20;Municipios;91;Algete;20704;3;1.2749777867705923;127.49777867705923
6;21;Municipios;105;Alpedrete;15178;3;0.934679909563565;93.46799095635649
7;22;Municipios;112;Ambite;663;2;0.4860899620525464;48.60899620525464
8;23;Municipios;127;Anchuelo;1365;2;1.0007734512846542;100.07734512846542
9;26;Municipios;151;Arroyomolinos;33757;1;1.2217615455145012;122.17615455145013
10;27;Municipios;164;Atazar (El);109;2;0.07991524263005664;7.991524263005664
11;28;Municipios;170;Batres;1818;2;1.3328982669857155;133.28982669857155
12;29;Municipios;186;Becerril de la Sierra;6096;0;0.8256694342484864;82.56694342484863
13;30;Municipios;199;Belmonte de Tajo;1749;2;1.2823097188987989;128.2309718898799
14;31;Municipios;210;Berrueco (El);810;2;0.5938655644985861;59.38655644985861
15;32;Municipios;203;Berzosa del Lozoya;213;2;0.15616464844222078;15.616464844222078
16;34;Municipios;231;Boalo (El);8006;0;1.0843683547561322;108.43683547561322
17;35;Municipios;246;Braojos;218;2;0.1598304852601133;15.983048526011329
18;36;Municipios;259;Brea de Tajo;529;2;0.3878455353330272;38.78455353330272
19;37;Municipios;262;Brunete;10699;0;1.449120288225813;144.9120288225813
20;38;Municipios;278;Buitrago del Lozoya;1943;2;1.424544187433028;142.4544187433028
21;39;Municipios;284;Bustarviejo;2706;2;1.9839508858434247;198.39508858434246
22;40;Municipios;297;Cabanillas de la Sierra;841;2;0.6165937527695197;61.65937527695197
23;41;Municipios;301;Cabrera (La);2776;2;2.0352726012939195;203.52726012939195
