;Unnamed: 0;Tipo_Agrupacion;ID_Agrupacion;Nombre_Agrupacion;Valor_Agrupacion;Cluster;Variacion;Variacion_Porcentaje
0;12;Municipios;14;Acebeda (La);3.06;0;0.06140329963761204;6.140329963761204
1;13;Municipios;29;Ajalvir;246.21;3;0.9441148890234226;94.41148890234226
2;14;Municipios;35;Alameda del Valle;10.68;0;0.21430955559794007;21.430955559794008
3;15;Municipios;40;Alamo (El);467.88;2;0.8299729275374975;82.99729275374975
4;19;Municipios;88;Aldea del Fresno;65.93;0;1.3229802434992688;132.2980243499269
5;20;Municipios;91;Algete;551.67;2;0.9786081151889614;97.86081151889614
6;21;Municipios;105;Alpedrete;1219.57;1;1.000679858261274;100.0679858261274
7;22;Municipios;112;Ambite;26.72;0;0.5361752177506516;53.61752177506516
8;23;Municipios;127;Anchuelo;63.81;0;1.2804393953843218;128.04393953843217
9;26;Municipios;151;Arroyomolinos;1734.84;1;1.4234684727453026;142.34684727453026
10;27;Municipios;164;Atazar (El);3.66;0;0.07344316231165363;7.3443162311653625
11;28;Municipios;170;Batres;87.98;0;1.7654451967702967;176.54451967702965
12;29;Municipios;186;Becerril de la Sierra;211.29;3;0.8102109374182971;81.0210937418297
13;30;Municipios;199;Belmonte de Tajo;76.46;0;1.5342798334286982;153.42798334286982
14;31;Municipios;210;Berrueco (El);28.88;0;0.5795187233772012;57.951872337720125
15;32;Municipios;203;Berzosa del Lozoya;14.97;0;0.30039457371733735;30.039457371733736
16;34;Municipios;231;Boalo (El);210.04;3;0.8054176974553416;80.54176974553417
17;35;Municipios;246;Braojos;8.5;0;0.17056472121558902;17.0564721215589
18;36;Municipios;259;Brea de Tajo;12.27;0;0.24621519168415024;24.621519168415023
19;37;Municipios;262;Brunete;223.37;3;0.8565328084202993;85.65328084202993
20;38;Municipios;278;Buitrago del Lozoya;75.24;0;1.5097987793248138;150.97987793248137
21;39;Municipios;284;Bustarviejo;48.97;0;0.9826534585796933;98.26534585796934
22;40;Municipios;297;Cabanillas de la Sierra;67.8;0;1.360504482166698;136.0504482166698
23;41;Municipios;301;Cabrera (La);130.78;0;2.6242887341852623;262.4288734185262
24;42;Municipios;318;Cadalso de los Vidrios;67.22;0;1.348865948248458;134.8865948248458
25;43;Municipios;323;Camarma de Esteruelas;221.02;3;0.847521517289943;84.75215172899429
26;44;Municipios;339;Campo Real;108.57;0;2.178613150867823;217.8613150867823
27;45;Municipios;344;Canencia;8.56;0;0.17176870748299317;17.176870748299315
28;46;Municipios;357;Carabaña;47.95;0;0.9621856920338228;96.21856920338227
29;47;Municipios;360;Casarrubuelos;767.6;2;1.3616466170338188;136.16466170338188
30;48;Municipios;376;Cenicientos;30.58;0;0.6136316676203191;61.36316676203191
31;49;Municipios;382;Cercedilla;213.98;3;0.8205259898185774;82.05259898185774
32;50;Municipios;395;Cervera de Buitrago;14.2;0;0.284943416618984;28.4943416618984
33;51;Municipios;513;Chapinería;101.64;0;2.0395527369826434;203.95527369826434
34;52;Municipios;528;Chinchón;48.93;0;0.9818508010680906;98.18508010680907
35;53;Municipios;409;Ciempozuelos;519.78;2;0.9220384035980176;92.20384035980176
36;54;Municipios;416;Cobeña;370.11;3;1.4192208341515735;141.92208341515735
37;55;Municipios;468;Collado Mediano;336.02;3;1.2884995938818504;128.84995938818506
38;58;Municipios;437;Colmenar de Oreja;69.21;0;1.3887981594506957;138.87981594506957
39;59;Municipios;421;Colmenar del Arroyo;39.63;0;0.7952329296204462;79.52329296204462
40;60;Municipios;442;Colmenarejo;306.51;3;1.1753407848363966;117.53407848363966
41;61;Municipios;480;Corpa;30.66;0;0.6152369826435246;61.523698264352454
42;63;Municipios;506;Cubas de la Sagra;527.67;2;0.936034484640744;93.6034484640744
43;64;Municipios;534;Daganzo de Arriba;244.04;3;0.9357938244477317;93.57938244477317
44;65;Municipios;549;Escorial (El);246.7;3;0.945993839088901;94.5993839088901
45;66;Municipios;552;Estremera;18.3;0;0.3672158115582681;36.72158115582681
46;67;Municipios;565;Fresnedillas de la Oliva;63.3;0;1.2702055121113864;127.02055121113864
47;68;Municipios;571;Fresno de Torote;78.92;0;1.5836432703922687;158.36432703922688
48;70;Municipios;590;Fuente el Saz de Jarama;218.87;3;0.8392771445536594;83.92771445536594
49;71;Municipios;604;Fuentidueña de Tajo;37.52;0;0.7528927458834;75.28927458834
50;72;Municipios;611;Galapagar;541.05;2;0.9597692836713752;95.97692836713752
51;73;Municipios;626;Garganta de los Montes;10.38;0;0.2082896242609193;20.82896242609193
52;74;Municipios;632;Gargantilla del Lozoya y Pinilla de Buitrago;16.03;0;0.32166499777481083;32.166499777481086
53;75;Municipios;647;Gascones;11.32;0;0.22715207578358443;22.71520757835844
54;77;Municipios;663;Griñón;619.82;2;1.0994994869331705;109.94994869331704
55;78;Municipios;679;Guadalix de la Sierra;112.97;0;2.266905477144128;226.69054771441282
56;79;Municipios;685;Guadarrama;298.02;3;1.1427850990080028;114.27850990080029
57;80;Municipios;698;Hiruela (La);4.31;0;0.08648634687519866;8.648634687519866
58;81;Municipios;702;Horcajo de la Sierra-Aoslos;11.03;0;0.22133280882446432;22.13328088244643
59;82;Municipios;719;Horcajuelo de la Sierra;4.53;0;0.09090096318901392;9.090096318901391
60;83;Municipios;724;Hoyo de Manzanares;198.3;3;0.7603995877232634;76.03995877232634
61;84;Municipios;730;Humanes de Madrid;1007.31;1;0.8265165820946432;82.65165820946432
62;86;Municipios;758;Loeches;206.38;3;0.7913830908438079;79.1383090843808
63;87;Municipios;761;Lozoya;10.73;0;0.21531287748744354;21.531287748744354
64;88;Municipios;9015;Lozoyuela-Navas-Sieteiglesias;28.62;0;0.5743014495517832;57.43014495517832
65;89;Municipios;783;Madarcos;8.41;0;0.16875874181448278;16.875874181448278
66;92;Municipios;822;Manzanares el Real;73.52;0;1.4752845063258946;147.52845063258945
67;93;Municipios;838;Meco;442.09;2;0.7842240137108922;78.42240137108922
68;94;Municipios;843;Mejorada del Campo;1344.46;1;1.1031544251153707;110.31544251153707
69;95;Municipios;856;Miraflores de la Sierra;123.83;0;2.484826991544281;248.48269915442808
70;96;Municipios;869;Molar (El);194.8;3;0.746978515826988;74.6978515826988
71;97;Municipios;875;Molinos (Los);252.45;3;0.9680427429184963;96.80427429184964
72;98;Municipios;881;Montejo de la Sierra;11.77;0;0.2361819727891156;23.61819727891156
73;99;Municipios;894;Moraleja de Enmedio;176.53;3;0.6769205205284301;67.69205205284301
74;100;Municipios;908;Moralzarzal;323.83;3;1.2417559177631083;124.17559177631084
75;101;Municipios;915;Morata de Tajuña;178.4;3;0.6840912075130116;68.40912075130116
76;103;Municipios;936;Navacerrada;100.92;0;2.025104901773793;202.51049017737932
77;104;Municipios;941;Navalafuente;137.16;0;2.7523126072859045;275.2312607285904
78;105;Municipios;954;Navalagamella;39.73;0;0.7972395733994531;79.7239573399453
79;106;Municipios;967;Navalcarnero;316.73;3;1.2145303147735211;121.45303147735211
80;107;Municipios;973;Navarredonda y San Mamés;5.37;0;0.10775677093267212;10.775677093267213
81;108;Municipios;992;Navas del Rey;64.19;0;1.288064641744548;128.80646417445482
