;Unnamed: 0;Tipo_Agrupacion;ID_Agrupacion;Nombre_Agrupacion;Valor_Agrupacion;Cluster;Variacion;Variacion_Porcentaje
0;0;Municipios;14;Acebeda (La);88.477;0;1.027681435829293;102.7681435829293
1;1;Municipios;29;Ajalvir;34.911;3;1.0466472004184642;104.66472004184641
2;2;Municipios;35;Alameda del Valle;92.242;0;1.0714128078909282;107.14128078909282
3;3;Municipios;40;Alamo (El);42.104;1;0.8821614043909598;88.21614043909598
4;7;Municipios;88;Aldea del Fresno;56.001;2;0.9106934244010495;91.06934244010495
5;8;Municipios;91;Algete;32.758;3;0.9820993094241944;98.20993094241945
6;9;Municipios;105;Alpedrete;43.979;1;0.9214463329781023;92.14463329781023
7;10;Municipios;112;Ambite;54.784;2;0.8909024582130158;89.09024582130158
8;11;Municipios;127;Anchuelo;42.201;1;0.8841937446965347;88.41937446965346
9;14;Municipios;151;Arroyomolinos;31.45;3;0.9428848916719857;94.28848916719858
10;15;Municipios;164;Atazar (El);84.846;0;0.9855065056949511;98.55065056949512
11;16;Municipios;170;Batres;37.802;3;1.133320657392191;113.3320657392191
12;17;Municipios;186;Becerril de la Sierra;50.448;1;1.0569845745942223;105.69845745942223
13;18;Municipios;199;Belmonte de Tajo;57.499;2;0.9350540384928118;93.50540384928118
14;19;Municipios;210;Berrueco (El);66.347;2;1.0789410301376123;107.89410301376124
15;20;Municipios;203;Berzosa del Lozoya;82.228;0;0.9550978119214157;95.50978119214157
16;22;Municipios;231;Boalo (El);55.387;2;0.9007084998000202;90.07084998000202
17;23;Municipios;246;Braojos;83.276;0;0.9672705816214405;96.72705816214405
18;24;Municipios;259;Brea de Tajo;65.168;2;1.0597680234525741;105.97680234525741
19;25;Municipios;262;Brunete;38.308;3;1.1484907608957213;114.84907608957214
20;26;Municipios;278;Buitrago del Lozoya;76.377;0;0.8871370528423648;88.71370528423648
21;27;Municipios;284;Bustarviejo;64.721;2;1.0524988682462872;105.24988682462873
22;28;Municipios;297;Cabanillas de la Sierra;55.486;2;0.9023184469262447;90.23184469262448
23;29;Municipios;301;Cabrera (La);60.42;2;0.9825556097625295;98.25556097625295
24;30;Municipios;318;Cadalso de los Vidrios;89.965;0;1.0449649103652061;104.49649103652061
25;31;Municipios;323;Camarma de Esteruelas;37.479;3;1.1236369747209651;112.36369747209652
26;32;Municipios;339;Campo Real;34.635;3;1.0383725985074477;103.83725985074477
27;33;Municipios;344;Canencia;82.184;0;0.954586741437827;95.4586741437827
28;34;Municipios;357;Carabaña;53.449;1;1.1198614122955635;111.98614122955635
29;35;Municipios;360;Casarrubuelos;33.936;3;1.0174162697545472;101.74162697545472
30;36;Municipios;376;Cenicientos;95.124;0;1.1048879245659964;110.48879245659964
31;37;Municipios;382;Cercedilla;57.007;2;0.9270530891382409;92.7053089138241
32;38;Municipios;395;Cervera de Buitrago;82.105;0;0.9536691376150198;95.36691376150198
33;39;Municipios;513;Chapinería;57.258;2;0.9311348742764468;93.11348742764469
34;40;Municipios;528;Chinchón;45.592;1;0.9552418475440014;95.52418475440014
35;41;Municipios;409;Ciempozuelos;35.54;3;1.0655048982519038;106.55048982519037
36;42;Municipios;416;Cobeña;34.59;3;1.0370234786306516;103.70234786306516
37;43;Municipios;468;Collado Mediano;47.487;1;0.994945815369407;99.4945815369407
38;46;Municipios;437;Colmenar de Oreja;57.211;2;0.9303705559437947;93.03705559437947
39;47;Municipios;421;Colmenar del Arroyo;61.175;2;0.994833489361515;99.4833489361515
40;48;Municipios;442;Colmenarejo;37.111;3;1.1126041721729432;111.26041721729432
41;49;Municipios;480;Corpa;46.516;1;0.9746014603517453;97.46014603517453
42;51;Municipios;506;Cubas de la Sagra;36.177;3;1.0846024396189962;108.46024396189962
43;52;Municipios;534;Daganzo de Arriba;36.597;3;1.0971942251357605;109.71942251357605
44;53;Municipios;549;Escorial (El);51.323;1;1.0753175412682223;107.53175412682224
45;54;Municipios;552;Estremera;72.696;2;1.1821890534143802;118.21890534143802
46;55;Municipios;565;Fresnedillas de la Oliva;69.753;2;1.1343297161166124;113.43297161166123
47;56;Municipios;571;Fresno de Torote;46.99;1;0.984532690298575;98.45326902985751
48;58;Municipios;590;Fuente el Saz de Jarama;36.187;3;1.084902244036062;108.4902244036062
49;59;Municipios;604;Fuentidueña de Tajo;63.685;2;1.0356513407435732;103.56513407435732
50;60;Municipios;611;Galapagar;35.516;3;1.0647853676509458;106.47853676509457
51;61;Municipios;626;Garganta de los Montes;79.318;0;0.9212974685749726;92.12974685749727
52;62;Municipios;632;Gargantilla del Lozoya y Pinilla de Buitrago;81.426;0;0.945782390834183;94.5782390834183
53;63;Municipios;647;Gascones;80.024;0;0.9294978267889208;92.94978267889208
54;65;Municipios;663;Griñón;33.337;3;0.9994579851723051;99.94579851723051
55;66;Municipios;679;Guadalix de la Sierra;58.847;2;0.9569753387569608;95.69753387569608
56;67;Municipios;685;Guadarrama;50.794;1;1.0642339534161698;106.42339534161698
57;68;Municipios;698;Hiruela (La);97.734;0;1.1352036964334247;113.52036964334246
58;69;Municipios;702;Horcajo de la Sierra-Aoslos;89.479;0;1.0393199045692023;103.93199045692023
59;70;Municipios;719;Horcajuelo de la Sierra;94.536;0;1.0980581644671275;109.80581644671274
60;71;Municipios;724;Hoyo de Manzanares;36.584;3;1.096804479393575;109.68044793935749
61;72;Municipios;730;Humanes de Madrid;31.246;3;0.9367688815638432;93.67688815638432
62;74;Municipios;758;Loeches;28.433;3;0.8524338990432296;85.24338990432297
63;75;Municipios;761;Lozoya;85.605;0;0.9943224715368585;99.43224715368585
64;76;Municipios;9015;Lozoyuela-Navas-Sieteiglesias;68.104;2;1.107513526105053;110.75135261050531
65;77;Municipios;783;Madarcos;92.498;0;1.0743863088863541;107.43863088863542
66;80;Municipios;822;Manzanares el Real;51.894;1;1.0872811115206267;108.72811115206267
67;81;Municipios;838;Meco;48.983;1;1.0262899503914682;102.62899503914682
68;82;Municipios;843;Mejorada del Campo;21.041;3;0.6308184739481798;63.08184739481798
69;83;Municipios;856;Miraflores de la Sierra;55.446;2;0.9016679632388813;90.16679632388814
70;84;Municipios;869;Molar (El);43.648;1;0.9145112335848522;91.45112335848522
71;85;Municipios;875;Molinos (Los);55.681;2;0.9054895549021418;90.54895549021418
72;86;Municipios;881;Montejo de la Sierra;87.651;0;1.018087249023739;101.8087249023739
73;87;Municipios;894;Moraleja de Enmedio;27.17;3;0.8145686011678174;81.45686011678174
74;88;Municipios;908;Moralzarzal;46.641;1;0.9772204555908881;97.72204555908881
75;89;Municipios;915;Morata de Tajuña;34.745;3;1.0416704470951716;104.16704470951717
76;91;Municipios;936;Navacerrada;52.561;1;1.101256070116693;110.12560701166929
77;92;Municipios;941;Navalafuente;59.831;2;0.9729772374661024;97.29772374661025
78;93;Municipios;954;Navalagamella;56.822;2;0.9240446020841849;92.4044602084185
79;94;Municipios;967;Navalcarnero;36.609;3;1.0975539904362395;109.75539904362395
80;95;Municipios;973;Navarredonda y San Mamés;85.319;0;0.9910005133935311;99.10005133935312
81;96;Municipios;992;Navas del Rey;60.506;2;0.983954149690361;98.3954149690361
82;97;Municipios;1006;Nuevo Baztán;48.3;1;1.0119797604047918;101.19797604047918
83;98;Municipios;1013;Olmeda de las Fuentes;53.406;1;1.1189604779332984;111.89604779332984
84;99;Municipios;1028;Orusco de Tajuña;57.456;2;0.9343547685288961;93.43547685288961
85;100;Municipios;1049;Paracuellos de Jarama;24.676;3;0.7397973795516032;73.97973795516032
86;102;Municipios;1071;Patones;65.895;2;1.0715905644704051;107.15905644704051
87;103;Municipios;1087;Pedrezuela;45.794;1;0.9594741438504563;95.94741438504563
88;104;Municipios;1090;Pelayos de la Presa;71.93;2;1.1697322908013696;116.97322908013696
89;105;Municipios;1104;Perales de Tajuña;40.166;3;1.2041944215865494;120.41944215865495
90;106;Municipios;1111;Pezuela de las Torres;51.574;1;1.080576483708421;108.0576483708421
91;107;Municipios;1126;Pinilla del Valle;91.312;0;1.0606106363059824;106.06106363059824
92;109;Municipios;1147;Piñuécar-Gandullas;83.028;0;0.9643900025321218;96.43900025321219
93;111;Municipios;1163;Pozuelo del Rey;41.51;1;0.869715939014553;86.97159390145531
94;112;Municipios;1179;Prádena del Rincón;85.383;0;0.9917438886423875;99.17438886423875
95;113;Municipios;1185;Puebla de la Sierra;103.62;0;1.2035709888516941;120.3570988851694
96;114;Municipios;9020;Puentes Viejas;75.189;0;0.8733381497854663;87.33381497854663
97;115;Municipios;1198;Quijorna;45.968;1;0.9631197852233432;96.31197852233431
