Municipio;2015;2016;2017;2018;2019;2020 (p)
Acebeda (La);3.340;3.776;3.836;3.536;4.393;3.934
Ajalvir;272.693;282.569;299.158;287.279;301.935;274.506
Alameda del Valle;4.361;4.325;4.057;4.445;4.898;4.904
Alamo (El);129.096;127.523;126.549;125.456;136.296;122.196
Alcalá de Henares;4.534.788;4.769.258;5.062.118;5.162.892;5.406.446;4.904.527
Alcobendas;7.394.440;7.619.760;7.907.516;8.234.450;8.322.264;7.522.247
Alcorcón;3.364.140;3.567.637;3.790.078;3.857.304;4.145.914;3.741.286
Aldea del Fresno;36.691;38.442;40.376;40.407;44.153;41.241
Algete;522.727;535.754;573.291;600.210;630.277;563.255
Alpedrete;173.849;185.924;197.668;200.799;216.726;194.642
Ambite;8.159;7.846;7.622;6.816;6.637;7.658
Anchuelo;14.822;15.169;16.173;15.563;15.653;14.273
Aranjuez;1.115.080;1.217.020;1.249.799;1.340.056;1.373.120;1.258.068
Arganda del Rey;1.664.095;1.745.816;1.863.539;1.993.474;2.163.648;1.929.897
Arroyomolinos;442.332;515.999;557.371;598.675;720.473;665.736
Atazar (El);2.586;3.201;3.029;2.626;2.885;2.383
Batres;16.464;16.677;17.038;16.893;20.097;18.756
Becerril de la Sierra;72.523;75.761;78.820;78.893;83.928;76.364
Belmonte de Tajo;21.351;20.727;22.132;21.398;22.844;21.418
Berrueco (El);17.016;16.769;18.535;18.322;19.804;19.323
Berzosa del Lozoya;4.619;5.008;4.957;5.418;4.324;3.938
Boadilla del Monte;1.110.931;1.209.484;1.261.318;1.343.160;1.420.077;1.330.509
Boalo (El);90.669;92.742;99.608;110.075;113.933;103.089
Braojos;13.907;14.628;16.929;17.138;15.238;12.031
Brea de Tajo;11.464;10.692;10.906;11.724;10.673;9.238
Brunete;144.352;152.801;156.297;166.215;176.363;158.113
Buitrago del Lozoya;43.950;46.304;52.278;52.619;54.526;49.174
Bustarviejo;35.396;37.207;36.488;36.449;35.073;31.388
Cabanillas de la Sierra;11.146;10.432;10.729;9.634;10.044;9.507
Cabrera (La);40.245;42.417;43.177;47.724;49.746;46.092
Cadalso de los Vidrios;56.862;54.703;56.179;52.864;56.872;57.230
Camarma de Esteruelas;150.972;169.060;173.651;171.839;172.267;153.652
Campo Real;130.881;141.351;144.891;148.301;148.226;133.092
Canencia;7.447;7.678;8.144;8.238;8.388;7.315
Carabaña;22.536;22.917;26.201;26.319;27.705;23.611
Casarrubuelos;48.012;50.885;53.748;59.669;62.063;56.381
Cenicientos;29.388;28.489;28.236;29.338;26.566;27.120
Cercedilla;133.286;132.880;137.874;139.364;141.812;134.343
Cervera de Buitrago;2.816;2.486;2.331;2.210;2.462;2.798
Chapinería;27.671;26.344;30.038;30.537;32.504;29.482
Chinchón;90.002;90.431;94.094;100.158;105.675;91.937
Ciempozuelos;580.263;637.729;673.738;713.213;662.720;602.739
Cobeña;105.574;114.159;114.959;119.653;121.943;119.406
Collado Mediano;90.072;97.010;100.342;102.573;109.177;98.196
Collado Villalba;1.037.036;1.130.758;1.144.280;1.183.159;1.222.469;1.062.756
Colmenar Viejo;879.715;926.396;1.083.939;1.101.321;1.206.177;1.185.193
