Municipio;2015;2016;2017;2018;2019;2020 (p)
Acebeda (La);51.385;57.212;58.121;54.400;52.298;57.853
Ajalvir;62.789;63.642;67.151;63.014;64.078;58.146
Alameda del Valle;20.097;20.793;20.387;22.795;24.490;24.039
Alamo (El);14.400;14.143;13.832;13.413;14.392;12.391
Alcalá de Henares;22.817;24.345;26.052;26.647;27.633;24.825
Alcobendas;65.406;67.229;68.842;70.964;71.106;63.523
Alcorcón;20.128;21.318;22.541;22.757;24.314;21.703
Aldea del Fresno;14.474;14.877;15.434;14.977;15.558;13.872
Algete;25.944;26.378;28.076;29.317;30.580;26.997
Alpedrete;12.202;12.896;13.881;13.979;14.870;13.117
Ambite;13.202;13.187;11.258;11.341;11.211;12.575
Anchuelo;12.352;12.485;13.064;12.235;12.315;11.099
Aranjuez;19.170;21.008;21.469;22.699;23.036;20.852
Arganda del Rey;30.515;32.177;34.625;36.541;39.063;34.050
Arroyomolinos;16.477;18.313;19.135;19.921;22.948;20.214
Atazar (El);26.938;33.695;31.227;28.237;32.416;26.478
Batres;10.500;10.542;10.583;10.313;11.934;10.718
Becerril de la Sierra;13.440;13.929;14.444;14.179;14.688;12.998
Belmonte de Tajo;13.139;12.914;13.595;13.152;13.728;12.726
Berrueco (El);27.534;22.299;24.946;24.726;26.058;24.869
Berzosa del Lozoya;22.866;25.293;24.419;27.364;21.093;17.739
Boadilla del Monte;22.777;24.305;24.509;25.523;26.023;23.452
Boalo (El);12.669;12.836;13.537;14.877;15.175;13.453
Braojos;68.507;72.776;81.389;83.600;74.332;58.403
Brea de Tajo;20.471;19.093;20.234;22.331;20.368;18.257
Brunete;13.883;14.729;15.068;15.687;16.427;14.695
Buitrago del Lozoya;23.566;24.881;28.197;28.063;28.942;25.102
Bustarviejo;14.954;15.699;15.210;14.662;14.012;12.446
Cabanillas de la Sierra;15.206;14.509;15.069;13.531;13.286;12.111
Cabrera (La);15.635;16.569;16.800;18.264;18.652;16.846
Cadalso de los Vidrios;20.550;19.621;18.401;17.338;18.714;18.782
Camarma de Esteruelas;21.162;23.980;24.513;23.781;23.482;20.660
Campo Real;22.358;24.007;24.169;24.412;23.869;20.731
Canencia;16.050;17.024;18.179;19.475;18.765;16.365
Carabaña;11.173;11.764;13.506;13.816;13.784;11.346
Casarrubuelos;13.532;14.178;14.725;16.096;16.427;14.663
Cenicientos;14.441;14.345;14.232;14.817;13.067;13.307
Cercedilla;19.656;19.683;20.119;20.058;20.184;18.646
Cervera de Buitrago;17.171;15.834;14.942;14.832;16.413;17.272
Chapinería;12.823;11.899;13.500;13.633;13.962;12.213
Chinchón;16.557;17.082;17.957;19.118;19.823;16.984
Ciempozuelos;24.488;26.826;28.383;29.610;26.949;24.010
Cobeña;15.119;16.287;16.049;16.436;16.417;15.951
Collado Mediano;13.649;14.736;15.053;15.127;15.691;13.821
Collado Villalba;16.711;18.357;18.411;18.758;19.197;16.508
Colmenar Viejo;18.481;19.292;22.297;22.250;23.766;22.819
Colmenar de Oreja;15.055;16.213;17.144;16.807;15.559;13.215
Colmenar del Arroyo;23.276;22.644;27.098;30.200;28.872;27.259
Colmenarejo;18.323;22.137;21.496;21.795;23.519;22.668
Corpa;8.927;8.435;7.896;7.648;8.870;8.799
Coslada;23.695;25.871;27.487;29.330;32.220;27.491
Cubas de la Sagra;12.178;13.274;14.413;14.194;15.514;13.779
Daganzo de Arriba;29.917;30.683;31.505;31.435;33.049;28.961
Escorial (El);14.668;15.325;15.349;15.731;16.352;14.641
Estremera;41.010;42.877;47.920;51.540;52.883;52.653
Fresnedillas de la Oliva;10.125;10.429;11.504;12.122;11.749;10.075
Fresno de Torote;9.422;10.967;11.291;10.752;9.628;8.064
Fuenlabrada;18.087;18.933;19.820;20.626;21.399;19.956
Fuente el Saz de Jarama;22.013;22.203;23.412;22.906;22.525;19.978
