ID;Municipio;2015;2016;2017;2018;2019;2020;2021;2022;2023 (A)
14;Acebeda (La);30;30;31;26;28;28;27;23;22
29;Ajalvir;918;976;983;972;969;983;987;988;965
35;Alameda del Valle;34;33;32;33;34;33;33;36;37
40;Alamo (El);751;743;741;746;738;778;803;837;850
53;Alcalá de Henares;14816;15113;15213;15489;15842;15975;15776;15957;15869
66;Alcobendas;14230;14505;14572;14744;15061;15146;15005;15330;15477
72;Alcorcón;13218;13359;13420;13609;13820;14115;13975;14312;14352
88;Aldea del Fresno;203;204;209;217;241;241;242;254;246
91;Algete;2406;2444;2463;2471;2504;2523;2479;2550;2559
105;Alpedrete;1393;1431;1472;1474;1496;1534;1548;1624;1611
112;Ambite;46;46;42;44;51;48;47;61;62
127;Anchuelo;101;100;110;103;101;104;107;109;109
133;Aranjuez;4328;4381;4348;4424;4532;4515;4448;4576;4557
148;Arganda del Rey;5612;5733;5786;5945;6082;6206;6189;6367;6265
151;Arroyomolinos;2370;2539;2666;2787;2942;3008;3076;3262;3304
164;Atazar (El);12;13;13;11;11;10;11;8;7
170;Batres;90;103;110;117;124;124;142;158;165
186;Becerril de la Sierra;605;608;612;614;612;640;665;668;670
199;Belmonte de Tajo;145;143;160;157;156;149;148;141;142
210;Berrueco (El);56;55;58;60;66;72;76;75;75
203;Berzosa del Lozoya;24;28;25;28;27;30;28;26;31
225;Boadilla del Monte;6774;7046;7146;7399;7629;7782;7871;8402;8745
231;Boalo (El);685;678;707;726;738;758;779;815;824
246;Braojos;42;41;40;39;38;40;39;31;31
259;Brea de Tajo;60;62;61;62;59;53;53;54;55
262;Brunete;1060;1100;1089;1122;1140;1153;1141;1172;1158
278;Buitrago del Lozoya;244;244;240;251;256;242;231;233;242
284;Bustarviejo;238;245;252;260;263;263;271;284;283
297;Cabanillas de la Sierra;72;81;88;79;83;77;78;80;83
301;Cabrera (La);272;281;281;289;289;293;287;304;307
318;Cadalso de los Vidrios;280;253;251;239;249;250;274;281;283
323;Camarma de Esteruelas;677;695;705;735;745;742;758;779;771
339;Campo Real;658;663;667;677;711;696;695;725;717
344;Canencia;61;65;63;58;59;57;55;52;51
357;Carabaña;144;154;158;170;182;174;176;186;191
360;Casarrubuelos;291;330;336;360;354;361;376;378;379
376;Cenicientos;155;148;150;156;154;152;158;155;146
382;Cercedilla;673;700;710;713;734;742;769;780;804
395;Cervera de Buitrago;15;17;17;16;18;19;18;17;15
513;Chapinería;208;200;211;215;216;212;216;220;232
528;Chinchón;705;691;677;682;687;681;660;655;655
409;Ciempozuelos;1604;1641;1659;1707;1727;1780;1815;1840;1815
416;Cobeña;657;693;712;709;722;723;711;747;772
468;Collado Mediano;661;673;680;693;724;715;712;733;772
474;Collado Villalba;5470;5623;5638;5689;5833;5830;5860;6000;6010
455;Colmenar Viejo;4464;4541;4598;4580;4625;4589;4608;4807;4813
437;Colmenar de Oreja;727;718;714;709;714;733;750;744;729
421;Colmenar del Arroyo;163;174;172;181;178;172;172;180;179
442;Colmenarejo;703;694;688;693;735;737;734;783;778
480;Corpa;32;35;30;29;38;41;40;37;38
493;Coslada;7169;7235;7224;7400;7625;7658;7433;7368;7230
506;Cubas de la Sagra;439;463;485;498;515;516;522;535;548
534;Daganzo de Arriba;1016;1076;1057;1048;1078;1069;1060;1056;1057
549;Escorial (El);1419;1440;1476;1497;1553;1543;1562;1631;1637
552;Estremera;159;165;159;155;157;151;150;150;152
565;Fresnedillas de la Oliva;132;138;130;134;152;144;136;135;138
571;Fresno de Torote;148;157;162;160;158;162;154;145;156
587;Fuenlabrada;16422;16707;16661;16857;16951;16940;16674;16859;16673
590;Fuente el Saz de Jarama;848;864;855;864;898;905;912;944;918
604;Fuentidueña de Tajo;174;179;162;168;184;179;186;197;190
611;Galapagar;3036;3157;3112;3205;3284;3333;3299;3437;3486
626;Garganta de los Montes;55;52;50;51;52;53;49;51;51
632;Gargantilla del Lozoya y Pinilla de Buitrago;51;56;52;54;43;38;39;39;42
647;Gascones;26;32;32;34;32;33;38;40;38
650;Getafe;12516;12880;13068;13413;13748;14038;14118;14551;14522
663;Griñón;1288;1358;1382;1428;1447;1450;1462;1455;1461
679;Guadalix de la Sierra;545;536;542;541;553;571;581;603;616
685;Guadarrama;1354;1409;1426;1463;1472;1520;1516;1554;1569
698;Hiruela (La);12;12;14;10;10;15;18;17;18
702;Horcajo de la Sierra-Aoslos;38;37;32;36;30;30;33;32;31
719;Horcajuelo de la Sierra;18;20;17;18;16;16;21;20;15
724;Hoyo de Manzanares;844;851;868;863;901;903;924;961;962
730;Humanes de Madrid;3509;3537;3596;3618;3686;3757;3761;3798;3748
745;Leganés;13789;13969;14097;14403;14666;14777;14677;14718;14708
758;Loeches;916;968;1000;1007;1036;1023;1014;1038;1049
